order_id,user_id,order_date
B-25601,1,01-04-2018
B-26011,1,12-02-2019
B-26074,1,21-03-2019
B-25602,2,01-04-2018
B-26012,2,13-02-2019
B-26075,2,21-03-2019
B-25603,3,03-04-2018
B-26013,3,13-02-2019
B-26076,3,21-03-2019
B-25604,4,03-04-2018
B-26014,4,13-02-2019
B-26077,4,22-03-2019
B-25605,5,05-04-2018
B-26015,5,14-02-2019
B-26078,5,22-03-2019
B-25606,6,06-04-2018
B-26016,6,14-02-2019
B-26079,6,22-03-2019
B-25607,7,06-04-2018
B-26017,7,14-02-2019
B-26080,7,22-03-2019
B-25608,8,08-04-2018
B-26018,8,14-02-2019
B-26081,8,22-03-2019
B-25609,9,09-04-2018
B-26019,9,15-02-2019
B-26082,9,23-03-2019
B-25610,10,09-04-2018
B-26020,10,16-02-2019
B-26083,10,24-03-2019
B-25611,11,11-04-2018
B-26021,11,17-02-2019
B-26084,11,25-03-2019
B-25612,12,12-04-2018
B-26022,12,18-02-2019
B-26085,12,26-03-2019
B-25613,13,12-04-2018
B-26023,13,19-02-2019
B-26086,13,26-03-2019
B-25614,14,13-04-2018
B-26024,14,19-02-2019
B-26087,14,26-03-2019
B-25615,15,15-04-2018
B-26025,15,19-02-2019
B-26088,15,26-03-2019
B-25616,16,15-04-2018
B-26026,16,19-02-2019
B-26089,16,26-03-2019
B-25617,17,17-04-2018
B-26027,17,20-02-2019
B-26090,17,27-03-2019
B-25618,18,18-04-2018
B-26028,18,20-02-2019
B-26091,18,27-03-2019
B-25619,19,18-04-2018
B-26029,19,20-02-2019
B-26092,19,27-03-2019
B-25620,20,20-04-2018
B-26030,20,21-02-2019
B-26093,20,27-03-2019
B-25621,21,20-04-2018
B-26031,21,22-02-2019
B-26094,21,27-03-2019
B-25622,22,22-04-2018
B-26032,22,22-02-2019
B-26095,22,28-03-2019
B-25623,23,22-04-2018
B-26033,23,22-02-2019
B-26096,23,28-03-2019
B-25624,24,22-04-2018
B-26034,24,23-02-2019
B-26097,24,28-03-2019
B-25625,25,23-04-2018
B-26035,25,23-02-2019
B-26098,25,29-03-2019
B-25626,26,23-04-2018
B-26036,26,23-02-2019
B-26099,26,30-03-2019
B-25627,27,23-04-2018
B-26037,27,23-02-2019
B-26100,27,31-03-2019
B-25628,28,24-04-2018
B-26038,28,24-02-2019
B-25629,29,24-04-2018
B-26039,29,25-02-2019
B-25630,30,24-04-2018
B-26040,30,26-02-2019
B-25631,31,24-04-2018
B-26041,31,27-02-2019
B-25632,32,25-04-2018
B-26042,32,28-02-2019
B-25633,33,26-04-2018
B-26043,33,01-03-2019
B-25634,34,26-04-2018
B-26044,34,02-03-2019
B-25635,35,26-04-2018
B-26045,35,03-03-2019
B-25636,36,26-04-2018
B-26046,36,04-03-2019
B-25637,37,26-04-2018
B-26047,37,04-03-2019
B-25638,38,26-04-2018
B-26048,38,04-03-2019
B-25639,39,27-04-2018
B-26049,39,05-03-2019
B-25640,40,27-04-2018
B-26050,40,06-03-2019
B-25641,41,27-04-2018
B-26051,41,07-03-2019
B-25642,42,28-04-2018
B-26052,42,08-03-2019
B-25643,43,29-04-2018
B-26053,43,09-03-2019
B-25644,44,30-04-2018
B-26054,44,10-03-2019
B-25645,45,01-05-2018
B-26055,45,10-03-2019
B-25646,46,01-05-2018
B-26056,46,10-03-2019
B-25647,47,03-05-2018
B-26057,47,10-03-2019
B-25648,48,04-05-2018
B-26058,48,11-03-2019
B-25649,49,05-05-2018
B-26059,49,12-03-2019
B-25650,50,06-05-2018
B-26060,50,13-03-2019
B-25651,51,07-05-2018
B-26061,51,14-03-2019
B-25652,52,08-05-2018
B-26062,52,15-03-2019
B-25653,53,08-05-2018
B-26063,53,15-03-2019
B-25654,54,10-05-2018
B-25655,55,11-05-2018
B-26065,55,16-03-2019
B-25656,56,11-05-2018
B-26066,56,16-03-2019
B-25657,57,13-05-2018
B-26067,57,16-03-2019
B-25658,58,14-05-2018
B-26068,58,16-03-2019
B-25659,59,15-05-2018
B-26069,59,17-03-2019
B-25660,60,16-05-2018
B-26070,60,18-03-2019
B-25661,61,17-05-2018
B-26071,61,19-03-2019
B-25662,62,17-05-2018
B-26072,62,20-03-2019
B-25663,63,19-05-2018
B-26073,63,21-03-2019
B-25664,64,20-05-2018
B-25665,65,21-05-2018
B-25666,66,22-05-2018
B-25667,67,23-05-2018
B-25668,68,24-05-2018
B-25669,69,25-05-2018
B-25670,70,25-05-2018
B-25671,71,27-05-2018
B-25672,72,28-05-2018
B-25673,73,28-05-2018
B-25674,74,28-05-2018
B-25675,75,31-05-2018
B-25676,76,01-06-2018
B-25677,77,02-06-2018
B-25678,78,03-06-2018
B-25679,79,04-06-2018
B-25680,80,04-06-2018
B-25681,81,04-06-2018
B-25682,82,07-06-2018
B-25683,83,08-06-2018
B-25773,83,06-09-2018
B-25684,84,09-06-2018
B-25685,85,10-06-2018
B-25724,85,19-07-2018
B-25827,85,23-10-2018
B-25842,85,02-11-2018
B-25686,86,11-06-2018
B-25687,87,11-06-2018
B-25688,88,11-06-2018
B-25689,89,14-06-2018
B-25690,90,15-06-2018
B-25691,91,16-06-2018
B-25692,92,17-06-2018
B-25719,92,12-07-2018
B-25693,93,18-06-2018
B-25694,94,18-06-2018
B-25695,95,18-06-2018
B-25696,96,21-06-2018
B-25697,97,22-06-2018
B-25698,98,23-06-2018
B-25699,99,24-06-2018
B-25700,100,25-06-2018
B-25701,101,26-06-2018
B-25702,102,27-06-2018
B-25703,103,28-06-2018
B-25704,104,29-06-2018
B-25705,105,30-06-2018
B-25706,106,01-07-2018
B-25707,107,01-07-2018
B-25708,108,01-07-2018
B-25709,109,01-07-2018
B-25710,110,05-07-2018
B-25711,111,06-07-2018
B-25712,112,07-07-2018
B-25713,113,08-07-2018
B-25714,114,09-07-2018
B-25715,115,10-07-2018
B-25716,116,11-07-2018
B-25717,117,12-07-2018
B-25718,118,12-07-2018
B-25720,120,15-07-2018
B-25721,121,16-07-2018
B-25722,122,17-07-2018
B-25723,123,18-07-2018
B-25725,125,20-07-2018
B-25726,126,21-07-2018
B-25727,127,22-07-2018
B-25728,128,22-07-2018
B-25729,129,22-07-2018
B-25730,130,22-07-2018
B-25731,131,26-07-2018
B-25732,132,27-07-2018
B-25733,133,28-07-2018
B-25734,134,29-07-2018
B-25735,135,30-07-2018
B-25736,136,31-07-2018
B-25737,137,01-08-2018
B-25738,138,02-08-2018
B-25739,139,03-08-2018
B-25740,140,03-08-2018
B-25741,141,03-08-2018
B-25742,142,03-08-2018
B-25743,143,07-08-2018
B-25744,144,08-08-2018
B-25745,145,09-08-2018
B-25746,146,10-08-2018
B-25747,147,11-08-2018
B-25748,148,12-08-2018
B-25749,149,13-08-2018
B-25750,150,14-08-2018
B-25751,151,14-08-2018
B-25752,152,14-08-2018
B-25753,153,17-08-2018
B-25754,154,18-08-2018
B-25755,155,19-08-2018
B-25756,156,20-08-2018
B-25757,157,21-08-2018
B-25758,158,22-08-2018
B-25759,159,23-08-2018
B-25760,160,24-08-2018
B-25761,161,25-08-2018
B-25778,161,11-09-2018
B-25762,162,26-08-2018
B-25763,163,27-08-2018
B-25764,164,28-08-2018
B-25765,165,29-08-2018
B-25766,166,30-08-2018
B-25767,167,31-08-2018
B-25768,168,01-09-2018
B-25769,169,02-09-2018
B-25770,170,02-09-2018
B-25771,171,02-09-2018
B-25772,172,02-09-2018
B-25774,174,07-09-2018
B-25775,175,08-09-2018
B-25776,176,09-09-2018
B-25777,177,10-09-2018
B-25779,179,12-09-2018
B-25780,180,13-09-2018
B-25781,181,14-09-2018
B-25782,182,15-09-2018
B-25783,183,15-09-2018
B-25979,183,27-01-2019
B-25784,184,15-09-2018
B-25785,185,15-09-2018
B-25786,186,19-09-2018
B-25787,187,20-09-2018
B-25788,188,21-09-2018
B-25789,189,22-09-2018
B-25790,190,23-09-2018
B-25791,191,24-09-2018
B-25792,192,24-09-2018
B-25793,193,24-09-2018
B-25879,193,24-11-2018
B-25794,194,24-09-2018
B-25795,195,24-09-2018
B-25796,196,24-09-2018
B-25797,197,30-09-2018
B-25798,198,01-10-2018
B-25799,199,01-10-2018
B-25800,200,01-10-2018
B-25801,201,01-10-2018
B-25802,202,05-10-2018
B-25803,203,05-10-2018
B-25804,204,05-10-2018
B-25805,205,05-10-2018
B-25806,206,06-10-2018
B-25807,207,07-10-2018
B-25808,208,08-10-2018
B-25809,209,09-10-2018
B-25810,210,10-10-2018
B-25811,211,10-10-2018
B-25812,212,10-10-2018
B-25813,213,10-10-2018
B-25814,214,10-10-2018
B-25815,215,10-10-2018
B-25816,216,12-10-2018
B-25817,217,13-10-2018
B-25818,218,14-10-2018
B-25819,219,15-10-2018
B-25820,220,16-10-2018
B-25821,221,16-10-2018
B-25822,222,18-10-2018
B-25823,223,18-10-2018
B-25824,224,20-10-2018
B-25825,225,21-10-2018
B-25826,226,22-10-2018
B-25828,228,24-10-2018
B-25829,229,25-10-2018
B-25830,230,26-10-2018
B-25831,231,27-10-2018
B-25832,232,28-10-2018
B-25833,233,29-10-2018
B-25834,234,29-10-2018
B-25835,235,29-10-2018
B-25836,236,29-10-2018
B-25837,237,29-10-2018
B-25838,238,29-10-2018
B-25839,239,30-10-2018
B-25840,240,31-10-2018
B-25841,241,01-11-2018
B-25843,243,03-11-2018
B-25844,244,03-11-2018
B-25845,245,03-11-2018
B-25846,246,03-11-2018
B-25847,247,03-11-2018
B-25848,248,03-11-2018
B-25849,249,04-11-2018
B-25850,250,05-11-2018
B-25851,251,06-11-2018
B-25852,252,07-11-2018
B-25853,253,08-11-2018
B-25854,254,08-11-2018
B-25855,255,08-11-2018
B-25856,256,10-11-2018
B-25857,257,10-11-2018
B-25858,258,13-11-2018
B-25859,259,14-11-2018
B-25860,260,15-11-2018
B-25861,261,15-11-2018
B-25862,262,15-11-2018
B-25863,263,15-11-2018
B-25864,264,15-11-2018
B-25865,265,15-11-2018
B-25866,266,16-11-2018
B-25867,267,17-11-2018
B-25868,268,18-11-2018
B-25869,269,19-11-2018
B-25870,270,20-11-2018
B-25871,271,21-11-2018
B-25872,272,22-11-2018
B-25873,273,23-11-2018
B-25874,274,24-11-2018
B-25875,275,24-11-2018
B-25876,276,24-11-2018
B-25877,277,24-11-2018
B-25878,278,24-11-2018
B-25880,280,24-11-2018
B-25881,281,25-11-2018
B-25882,282,26-11-2018
B-25883,283,27-11-2018
B-25884,284,28-11-2018
B-25885,285,28-11-2018
B-25886,286,28-11-2018
B-25887,287,01-12-2018
B-25888,288,02-12-2018
B-25889,289,03-12-2018
B-25890,290,04-12-2018
B-25891,291,04-12-2018
B-25892,292,04-12-2018
B-25893,293,04-12-2018
B-25894,294,04-12-2018
B-25895,295,04-12-2018
B-25896,296,05-12-2018
B-25897,297,06-12-2018
B-25898,298,07-12-2018
B-25899,299,08-12-2018
B-25900,300,09-12-2018
B-25901,301,10-12-2018
B-25902,302,10-12-2018
B-25903,303,10-12-2018
B-25904,304,10-12-2018
B-25905,305,11-12-2018
B-25906,306,11-12-2018
B-25907,307,11-12-2018
B-25908,308,12-12-2018
B-25909,309,13-12-2018
B-25910,310,14-12-2018
B-25911,311,15-12-2018
B-25912,312,16-12-2018
B-25913,313,17-12-2018
B-25914,314,18-12-2018
B-25984,314,30-01-2019
B-25915,315,19-12-2018
B-25916,316,20-12-2018
B-25917,317,21-12-2018
B-25918,318,22-12-2018
B-25919,319,23-12-2018
B-25920,320,24-12-2018
B-25921,321,25-12-2018
B-25922,322,26-12-2018
B-25923,323,27-12-2018
B-25924,324,28-12-2018
B-25925,325,29-12-2018
B-25926,326,30-12-2018
B-25927,327,31-12-2018
B-25928,328,01-01-2019
B-25929,329,02-01-2019
B-25930,330,03-01-2019
B-25931,331,04-01-2019
B-25932,332,04-01-2019
B-25933,333,04-01-2019
B-25934,334,04-01-2019
B-25935,335,04-01-2019
B-25936,336,05-01-2019
B-25937,337,05-01-2019
B-25938,338,05-01-2019
B-25939,339,05-01-2019
B-25940,340,06-01-2019
B-25941,341,07-01-2019
B-25942,342,08-01-2019
B-25943,343,09-01-2019
B-25944,344,10-01-2019
B-25945,345,11-01-2019
B-25946,346,12-01-2019
B-25947,347,13-01-2019
B-25948,348,13-01-2019
B-25949,349,13-01-2019
B-25950,350,13-01-2019
B-25951,351,13-01-2019
B-25952,352,13-01-2019
B-25953,353,14-01-2019
B-25954,354,14-01-2019
B-25955,355,16-01-2019
B-25956,356,17-01-2019
B-25957,357,18-01-2019
B-25958,358,18-01-2019
B-25959,359,18-01-2019
B-25960,360,18-01-2019
B-25961,361,18-01-2019
B-25962,362,19-01-2019
B-25963,363,19-01-2019
B-25964,364,20-01-2019
B-25965,365,21-01-2019
B-25966,366,21-01-2019
B-25967,367,21-01-2019
B-25968,368,21-01-2019
B-25969,369,21-01-2019
B-25970,370,22-01-2019
B-25971,371,22-01-2019
B-25972,372,23-01-2019
B-25973,373,24-01-2019
B-25974,374,25-01-2019
B-25975,375,25-01-2019
B-25976,376,25-01-2019
B-25977,377,27-01-2019
B-25978,378,27-01-2019
B-25980,380,27-01-2019
B-25986,380,31-01-2019
B-25981,381,28-01-2019
B-25982,382,29-01-2019
B-25983,383,30-01-2019
B-25985,385,31-01-2019
B-25987,387,31-01-2019
B-25988,388,31-01-2019
B-25989,389,01-02-2019
B-25990,390,02-02-2019
B-25991,391,03-02-2019
B-25992,392,03-02-2019
B-25993,393,03-02-2019
B-25994,394,03-02-2019
B-25995,395,04-02-2019
B-25996,396,04-02-2019
B-25997,397,04-02-2019
B-25998,398,04-02-2019
B-25999,399,05-02-2019
B-26000,400,06-02-2019
B-26001,401,07-02-2019
B-26002,402,08-02-2019
B-26003,403,08-02-2019
B-26004,404,08-02-2019
B-26005,405,08-02-2019
B-26006,406,09-02-2019
B-26007,407,09-02-2019
B-26008,408,09-02-2019
B-26009,409,10-02-2019
B-26010,410,11-02-2019
B-26064,464,16-03-2019
